62.91,68.76,133.18,127.21
51.66,59.16,90.37,119.86
59.3,59.87,105.7,125.2
49.68,59.38,145.63,117.13
51.53,65.77,122.99,110.7
93.83,60.55,139.17,123.95
85.71,60.56,90.39,114.17
71.6,59.56,120.96,127.57
76.29,57.99,115.13,121.13
67.38,60.75,118.58,111.34
60.51,55.59,133.25,121.19
72.49,59.3,132.65,120.82
52.68,62.02,94.7,118.33
51.39,60.44,147.41,124.35
57.76,65.82,123.08,114.31
47.6,62.15,134.28,126.15
63.55,64.09,132.05,116.42
83.14,63.41,100.86,118.62
61.38,61.04,126.99,130.35
54.02,70.73,127.2,131.29
87.74,65.26,117.17,123.33
40.95,51.2,126.11,125.17
53.23,59.42,114.17,104.14
56.33,60.38,125.78,115.64
70.24,63.95,122.89,112.34
60.81,61.43,90.23,113.03
47.38,67.6,129.35,126.67
62.66,54.4,95.17,117.14
48.46,66.92,126.45,118.77
59.73,63.35,118.74,112.12
38.99,58.64,95.67,129.05
68.2,62.5,123.3,126.11
63.88,60.33,110.32,117.91
48.29,56.84,95.09,119.56
59.51,62.01,110.42,120.51
64.88,63.61,116.7,123.18
74.57,69.77,112.82,129.24
60.33,62.68,124.13,121.57
70.99,56.13,69.41,120.82
81.11,62.25,120.63,118.33
61.22,61.12,116.67,124.35
59.8,67.64,107.4,114.31
50.49,61.7,99.52,126.15
59.85,58.5,102.11,116.42
80.33,65.63,132.15,118.62
49.13,65.89,131.57,130.35
54.59,58.44,113.2,131.29
66.95,59.13,120.94,123.33
84.75,57.89,128.38,125.17
55.45,65.41,124.38,104.14
49.52,65.03,92.52,115.64
74.65,63.37,129.21,112.34
56.32,63.8,109.91,113.03
62.39,60.09,116.96,126.67
66.13,56.24,97.25,117.14
68.51,66.97,138.1,118.77
70.06,56.64,103.78,112.12
59.69,61.31,136.74,129.05
53.26,60.42,107.41,126.11
102.7,64.08,131.84,117.91
74.05,63.91,129.59,119.56
93.67,60.89,124.33,120.51
60.59,67.38,117.1,123.18
64.5,57.02,95.36,129.24
62.22,61.67,120.48,121.57
78.13,57.76,136.13,116.98
64.75,61.98,95.9,113.6
80.24,57.21,147.4,115.82
55.34,68.28,127.59,115.9
85.89,60.63,119.47,114.03
48.22,56.84,133.28,122.46
53.58,58.89,157.77,122.36
80.72,64.5,130.44,122.22
82.74,59.71,90.78,124.19
68.64,60.59,126.31,116.68
53.67,58.5,109.5,110.53
54.71,54.27,112.49,128.43
63.79,61.74,84.9,119.72
71.75,60.44,130.08,118.2
70.77,66,97.71,117.51
45.53,69.65,120.18,128.93
53.9,61.61,117.68,116.09
53.16,66.38,106.03,115.39
78.98,52.38,98.22,116.3
52.19,62.05,129.78,120.78
49.56,61.78,105.6,128.26
79.66,61.54,109.91,121.73
100.58,60.3,132.84,124.63
62.49,59.71,134.45,136.25
58.13,63.91,128.49,112.38
68.46,63.31,131.36,123.51
35.74,63.41,130.74,111.4
